item,itemdescr,areacity,total_semanas,semanas_con_ventas,porcentaje_semanas_con_ventas,max_semanas_consecutivas,ventanas_12semanas_validas,media_ventas,desv_estandar,coef_variacion
4509,ZHUMIR DURAZNO CAM 350CCX24 NG,QUEVEDO,200,178,89.0,35,68,15.32,15.435637157965388,1.007548117360665
4281,FLOYD AGUA TONICA 1500CC X 6,MILAGRO,200,178,89.0,38,67,32.545,30.894015211354397,0.9492707085989982
4391,LIOVA VODKA 750CCX6,MACHALA,200,177,88.5,53,60,9.105,8.964137090029592,0.9845290598604713
4391,LIOVA VODKA 750CCX6,PENINSULA DE SANTA ELENA,200,165,82.5,50,54,12.155,12.74886831119062,1.0488579441538972
4408,ZHUMIR AGUAR PA SUAVE 700CCX12,STO. DOMINGO,200,171,85.5,40,50,7.955,8.446281629618692,1.061757590146913
4483,VENETTO CEREZA 1500CCX6,MILAGRO,200,169,84.5,39,44,20.605,26.146263797199854,1.2689281143994104
4390,RON RONERO 375CCX24,STO. DOMINGO,200,169,84.5,39,44,10.58,13.312388910051506,1.2582598213659268
4281,FLOYD AGUA TONICA 1500CC X 6,AZOGUES,200,174,87.0,25,37,13.64,12.005459394641337,0.8801656447684264
4389,RON RONERO 750CCX12,PENINSULA DE SANTA ELENA,200,167,83.5,34,35,13.575,15.21287391202979,1.1206536951771486
4281,FLOYD AGUA TONICA 1500CC X 6,PENINSULA DE SANTA ELENA,200,170,85.0,25,33,24.085,36.79903012431785,1.527881674250274
3569,CUNINGHAM 375,RIOBAMBA,200,165,82.5,24,33,12.1,13.536104707531866,1.1186863394654436
3569,CUNINGHAM 375,MACHALA,200,174,87.0,21,29,10.305,11.035892788906622,1.0709260348283962
4389,RON RONERO 750CCX12,STO. DOMINGO,200,165,82.5,19,23,8.94,10.539535523220467,1.1789189623289114
